transaction_id,client_id,date_transaction,montant,devise,taux_change_eur,montant_eur,categorie,produit,agence,type_operation,statut,score_credit_client,segment_client,solde_avant,taux_interet,anomaly_montant,anomaly_score,is_anomaly,zscore_montant,anomaly_montant_z,zscore_score,anomaly_score_z,annee,mois,trimestre,jour_semaine,montant_eur_verifie,montant_eur_diff,categorie_risque,solde_net,nb_transactions,montant_moyen,nb_produits_distincts,taux_rejet
TXN001311,CLI0046,2024-01-26 23:11:00,500.52,USD,1.08,463.44,Prelevement,Credit Consommation,Bordeaux-Meriadeck,Credit,Complete,841.0,Premium,16341.35,,False,False,False,0.05004728260414475,False,1.67954237903914,False,2024.0,1.0,1.0,Friday,463.4444444444444,-0.004444444444402507,Low,24894.690000000002,15,-136.53400000000002,6,0.04519774011299435
TXN000947,CLI0036,2024-01-24 11:12:00,1062.22,EUR,1.0,1062.22,Prelevement,Credit Consommation,Marseille-Vieux-Port,Credit,Complete,572.0,Risque,29472.01,,False,False,False,0.08922165857410619,False,-0.4682202338595452,False,2024.0,1.0,1.0,Wednesday,1062.22,0.0,High,19039.65,18,-42.36277777777781,8,0.05572755417956656
TXN000053,CLI0106,2024-03-27 13:46:00,-941.67,GBP,0.86,-1094.97,Virement international,Assurance Vie,Nantes-Commerce,Debit,Complete,652.0,Standard,7716.68,,False,False,False,-0.05053468869747298,False,0.17051957666794482,False,2024.0,3.0,1.0,Wednesday,-1094.9651162790697,-0.004883720930365598,Medium,21000.07,16,-257.02937499999996,8,0.085
TXN001762,CLI0065,2023-10-14 23:56:00,-7199.72,EUR,1.0,-7199.72,Virement international,Livret A,Bordeaux-Meriadeck,Debit,Complete,645.0,Standard,7191.04,,True,False,True,-0.48698689368023457,False,0.11462984324678945,False,2023.0,10.0,4.0,Saturday,-7199.72,0.0,Medium,29933.670000000002,19,179.4542105263158,8,0.04519774011299435
TXN000837,CLI0096,2022-08-11 03:04:00,1119.97,EUR,1.0,1119.97,Remboursement credit,PEA,Lyon-Part-Dieu,Credit,Complete,710.0,Standard,14182.13,,False,False,False,0.09324928935969506,False,0.633605939300375,False,2022.0,8.0,3.0,Thursday,1119.97,0.0,Low,33110.83,20,-21.814499999999992,8,0.04013377926421405
TXN001817,CLI0036,2022-08-25 16:20:00,4016.18,EUR,1.0,4016.18,Virement international,Credit Auto,Marseille-Vieux-Port,Credit,Complete,572.0,Risque,16865.81,,False,False,False,0.2952382860268875,False,-0.4682202338595452,False,2022.0,8.0,3.0,Thursday,4016.18,0.0,High,19039.65,18,-42.36277777777781,8,0.05572755417956656
TXN000464,CLI0028,2022-05-06 02:13:00,2460.25,EUR,1.0,2460.25,Remboursement credit,Compte Courant,Lyon-Part-Dieu,Credit,Complete,667.0,Standard,33077.98,,False,False,False,0.18672379999708144,False,0.2902832911418492,False,2022.0,5.0,2.0,Friday,2460.25,0.0,Medium,21689.84,13,-396.34307692307686,6,0.04013377926421405
TXN000917,CLI0045,2023-10-23 18:08:00,-2065.8,USD,1.08,-1912.78,Remboursement credit,Credit Immobilier,Bordeaux-Meriadeck,Debit,Complete,704.0,Standard,10056.21,,False,False,False,-0.1289343526802267,False,0.5857004535108133,False,2023.0,10.0,4.0,Monday,-1912.7777777777778,-0.00222222222214441,Low,24235.3,17,-630.9223529411764,7,0.04519774011299435
TXN001905,CLI0028,2024-09-16 09:09:00,-80.27,EUR,1.0,-80.27,Paiement CB,Assurance Vie,Lyon-Part-Dieu,Debit,Complete,667.0,Standard,15449.22,,False,False,False,0.009541521842895147,False,0.2902832911418492,False,2024.0,9.0,3.0,Monday,-80.27,0.0,Medium,21689.84,13,-396.34307692307686,6,0.04013377926421405
TXN000219,CLI0061,2022-05-03 04:45:00,-875.48,EUR,1.0,-875.48,Remboursement credit,Credit Consommation,Marseille-Vieux-Port,Debit,En attente,341.0,Risque,26035.99,,False,False,False,-0.04591843100573052,False,-2.3125814367576725,False,2022.0,5.0,2.0,Tuesday,-875.48,0.0,High,24671.9,13,103.00000000000007,6,0.05572755417956656
TXN001196,CLI0050,2024-04-16 11:41:00,-2593.81,CHF,0.97,-2674.03,Virement international,Credit Auto,Lyon-Part-Dieu,Debit,Complete,666.0,Standard,32646.65,,False,False,False,-0.16575910300228353,False,0.2822990435102556,False,2024.0,4.0,2.0,Tuesday,-2674.0309278350514,0.0009278350512431643,Medium,15382.760000000002,12,12.083333333333352,7,0.04013377926421405
TXN001542,CLI0113,2024-03-17 13:52:00,-91.48,GBP,0.86,-106.37,Paiement CB,Livret A,Lyon-Part-Dieu,Debit,Complete,643.0,Standard,41551.58,,False,False,False,0.008759708144082137,False,0.0986613479836022,False,2024.0,3.0,1.0,Sunday,-106.37209302325581,0.002093023255810067,Medium,12732.239999999998,11,817.2945454545454,6,0.04013377926421405
TXN000147,CLI0035,2023-02-21 10:41:00,-283.26,EUR,1.0,-283.26,Remboursement credit,PEA,Lyon-Part-Dieu,Debit,Complete,600.0,Standard,36256.78,,False,False,False,-0.004615513190294229,False,-0.24466130017492368,False,2023.0,2.0,1.0,Tuesday,-283.26,0.0,Medium,19252.110000000004,13,-233.87769230769234,7,0.04013377926421405
TXN000320,CLI0113,2022-03-05 15:10:00,-1623.73,EUR,1.0,-1623.73,Remboursement credit,Compte Epargne,Lyon-Part-Dieu,Debit,Complete,643.0,Standard,42488.43,,False,False,False,-0.09810327490732149,False,0.0986613479836022,False,2022.0,3.0,1.0,Saturday,-1623.73,0.0,Medium,12732.239999999998,11,817.2945454545454,6,0.04013377926421405
TXN000133,CLI0076,2023-03-25 04:30:00,1394.85,EUR,1.0,1394.85,Virement international,PEA,Lyon-Part-Dieu,Credit,Complete,326.0,Risque,27506.8,,False,False,False,0.11242011447385386,False,-2.432345151231577,False,2023.0,3.0,1.0,Saturday,1394.85,0.0,High,178556.43999999997,16,8980.465,8,0.04013377926421405
TXN001939,CLI0048,2024-07-07 13:27:00,-140.32,MAD,10.85,-12.93,Paiement CB,Compte Epargne,Toulouse-Capitole,Debit,Complete,670.0,Standard,7276.46,,False,False,False,0.005353483251126971,False,0.3142360340366301,False,2024.0,7.0,3.0,Sunday,-12.932718894009216,0.0027188940092166547,Medium,11133.28,15,139.11866666666668,6,0.06806282722513089
TXN000685,CLI0142,2022-02-14 05:53:00,-145.66,EUR,1.0,-145.66,Retrait DAB,Credit Immobilier,Toulouse-Capitole,Debit,Complete,676.0,Standard,39391.96,,False,False,False,0.004981058170693298,False,0.3621415198261918,False,2022.0,2.0,1.0,Monday,-145.66,0.0,Medium,31038.29,16,-345.95062499999995,7,0.06806282722513089
TXN001752,CLI0045,2023-03-08 01:05:00,-471.95,EUR,1.0,-471.95,Paiement CB,Credit Consommation,Bordeaux-Meriadeck,Debit,Complete,704.0,Standard,27850.82,,False,False,False,-0.01777523012419493,False,0.5857004535108133,False,2023.0,3.0,1.0,Wednesday,-471.95,0.0,Low,24235.3,17,-630.9223529411764,7,0.04519774011299435
TXN001247,CLI0067,2023-08-08 14:01:00,1364.35,EUR,1.0,1364.35,Remboursement credit,Compte Epargne,Paris-Centre,Credit,Complete,337.0,Risque,5723.41,,False,False,False,0.11029296747886753,False,-2.344518427284047,False,2023.0,8.0,3.0,Tuesday,1364.35,0.0,High,17481.89,10,319.13700000000006,6,0.06578947368421052
TXN001403,CLI0057,,-2176.71,EUR,1.0,-2176.71,Prelevement,PEA,Nice-Massena,Debit,Complete,645.0,Risque,34098.81,,False,False,False,-0.13666949606429013,False,0.11462984324678945,False,,,,,-2176.71,0.0,Medium,6995.71,9,-379.13666666666666,7,0.07633587786259542
TXN000679,CLI0112,2022-10-26 04:30:00,-2607.66,EUR,1.0,-2607.66,Virement international,PEA,Marseille-Vieux-Port,Debit,Rejete,636.0,Standard,25932.26,,False,False,False,-0.1667250369655806,False,0.04277161456244682,False,2022.0,10.0,4.0,Wednesday,-2607.66,0.0,Medium,28989.629999999997,17,190.4158823529412,7,0.05572755417956656
TXN000212,CLI0020,2024-01-08 01:31:00,-2585.11,EUR,1.0,-2585.11,Interets,Credit Immobilier,Bordeaux-Meriadeck,Debit,Complete,660.0,Standard,5234.96,,False,False,False,-0.16515234303977924,False,0.2343935577206938,False,2024.0,1.0,1.0,Monday,-2585.11,0.0,Medium,15573.34,13,45.60769230769228,7,0.04519774011299435
TXN000383,CLI0140,2023-05-28 12:53:00,87.22,EUR,1.0,87.22,Interets,Credit Consommation,Marseille-Vieux-Port,Credit,Complete,609.0,Standard,48751.11,,False,False,False,0.02122269725896928,False,-0.17280307149058105,False,2023.0,5.0,2.0,Sunday,87.22,0.0,Medium,13867.59,11,-150.51909090909086,6,0.05572755417956656
TXN001981,CLI0082,2024-03-13 05:35:00,-1440.39,EUR,1.0,-1440.39,Virement international,PEA,Paris-Centre,Debit,Complete,813.0,Premium,5403.85,,False,False,False,-0.08531668047909872,False,1.4559834453545184,False,2024.0,3.0,1.0,Wednesday,-1440.39,0.0,Low,13697.67,12,211.15083333333337,5,0.06578947368421052
TXN001527,CLI0090,,1982.71,GBP,0.86,2305.48,Remboursement credit,Credit Consommation,Nantes-Commerce,Credit,Complete,682.0,Standard,28486.62,,False,False,False,0.15341895488279378,False,0.4100470056157536,False,,,,,2305.4767441860467,0.0032558139532739006,Medium,20144.83,10,-1042.4189999999999,6,0.085
TXN000010,CLI0078,2022-08-31 17:48:00,1277.71,MAD,10.85,117.76,Prelevement,Credit Consommation,Marseille-Vieux-Port,Credit,Complete,647.0,Standard,19080.86,,False,False,False,0.10425047516261783,False,0.13059833850997668,False,2022.0,8.0,3.0,Wednesday,117.76129032258065,-0.0012903225806439877,Medium,14041.910000000002,15,-291.4873333333333,7,0.05572755417956656
TXN001971,CLI0037,2024-05-21 03:28:00,-2435.52,CHF,0.97,-2510.85,Virement,Compte Courant,Lille-Grand-Place,Debit,Complete,622.0,Standard,8001.13,,False,False,False,-0.15471955881092658,False,-0.06900785227986393,False,2024.0,5.0,2.0,Tuesday,-2510.8453608247423,-0.004639175257580064,Medium,19274.36,12,-103.86666666666667,6,0.04205607476635514
TXN001461,CLI0082,2023-12-08 12:07:00,-611.64,EUR,1.0,-611.64,Depot especes,Assurance Vie,Paris-Centre,Debit,Complete,813.0,Premium,29668.5,,False,False,False,-0.02751756336123234,False,1.4559834453545184,False,2023.0,12.0,4.0,Friday,-611.64,0.0,Low,13697.67,12,211.15083333333337,5,0.06578947368421052
TXN001048,CLI0030,2024-08-27 22:21:00,2540.3,EUR,1.0,2540.3,Interets,Livret A,Lyon-Part-Dieu,Credit,Complete,391.0,Risque,49038.65,,False,False,False,0.19230668907736526,False,-1.9133690551779914,False,2024.0,8.0,3.0,Tuesday,2540.3,0.0,High,24245.759999999995,13,-780.5923076923076,6,0.04013377926421405
TXN000027,CLI0129,2024-06-20 03:33:00,-7301.45,GBP,0.86,-8490.06,Virement international,Credit Immobilier,Paris-Centre,Debit,Complete,573.0,Risque,32773.59,,True,False,True,-0.4940818006900693,False,-0.46023598622795153,False,2024.0,6.0,2.0,Thursday,-8490.058139534884,-0.001860465115896659,High,33604.45999999999,21,-736.64,8,0.06578947368421052
TXN001732,CLI0144,2023-12-16 09:26:00,-5328.18,EUR,1.0,-5328.18,Virement international,PEA,Paris-Centre,Debit,Complete,361.0,Risque,43745.48,,True,False,True,-0.3564609695164076,False,-2.1528964841258,False,2023.0,12.0,4.0,Saturday,-5328.18,0.0,High,25768.47,16,-450.673125,8,0.06578947368421052
TXN000003,CLI0049,2024-04-12 15:35:00,2286.59,EUR,1.0,2286.59,Prelevement,Credit Auto,Lyon-Part-Dieu,Credit,Complete,593.0,Standard,960.44,,False,False,False,0.17461231320530024,False,-0.30055103359607904,False,2024.0,4.0,2.0,Friday,2286.59,0.0,Medium,17168.61,11,46.61727272727274,6,0.04013377926421405
TXN000469,CLI0033,2022-02-02 04:46:00,2660.42,EUR,1.0,2660.42,Depot especes,Credit Immobilier,Lyon-Part-Dieu,Credit,Complete,584.0,Standard,32147.92,,False,False,False,0.20068416111139012,False,-0.3724092622804217,False,2022.0,2.0,1.0,Wednesday,2660.42,0.0,Medium,15908.140000000001,10,-775.964,4,0.04013377926421405
TXN001641,CLI0026,2024-03-05 03:38:00,-2959.53,USD,1.08,-2740.31,Interets,PEA,Lille-Grand-Place,Debit,Complete,699.0,Standard,35237.56,,False,False,False,-0.19126533903528034,False,0.5457792153528452,False,2024.0,3.0,1.0,Tuesday,-2740.3055555555557,-0.00444444444428882,Medium,27174.649999999998,15,-824.6553333333334,7,0.04205607476635514
TXN000293,CLI0118,2024-07-06 02:54:00,-1520.45,GBP,0.86,-1767.97,Interets,Credit Auto,Lille-Grand-Place,Debit,Complete,641.0,Standard,986.68,,False,False,False,-0.09090026698462679,False,0.08269285272041495,False,2024.0,7.0,3.0,Saturday,-1767.96511627907,-0.0048837209301382245,Medium,27600.21,13,1009.7253846153847,7,0.04205607476635514
TXN000192,CLI0106,2022-09-17 22:55:03,-441.44,MAD,10.85,-40.69,Virement,PEA,Nantes-Commerce,Debit,Complete,652.0,Standard,38097.53,,False,False,False,-0.015647385703964338,False,0.17051957666794482,False,2022.0,9.0,3.0,Saturday,-40.68571428571429,-0.004285714285707343,Medium,21000.07,16,-257.02937499999996,8,0.085
TXN000434,CLI0115,2022-08-29 04:12:00,21.7,EUR,1.0,21.7,Paiement CB,Compte Courant,Toulouse-Capitole,Credit,Complete,709.0,Standard,42785.01,,False,False,False,0.01665316705859208,False,0.6256216916687815,False,2022.0,8.0,3.0,Monday,21.7,0.0,Low,10488.029999999999,10,65.559,7,0.06806282722513089
TXN001885,CLI0100,,2967.53,EUR,1.0,2967.53,Virement,Compte Epargne,Lille-Grand-Place,Credit,Complete,656.0,Standard,12974.86,,False,False,False,0.22210278778779188,False,0.20245656719431931,False,,,,,2967.53,0.0,Medium,32263.120000000003,21,-122.9685714285714,7,0.04205607476635514
TXN000918,CLI0079,2024-08-02 17:11:00,1159.1,EUR,1.0,1159.1,Prelevement,Compte Epargne,Paris-Centre,Credit,Complete,689.0,Standard,26375.91,,False,False,False,0.09597831434047589,False,0.46593673903690896,False,2024.0,8.0,3.0,Friday,1159.1,0.0,Medium,22220.78,14,-114.12857142857149,7,0.06578947368421052
TXN000087,CLI0100,2022-02-03 11:50:00,-726.96,EUR,1.0,-726.96,Virement international,Livret A,Lille-Grand-Place,Debit,Complete,656.0,Standard,36785.83,,False,False,False,-0.035560271278013464,False,0.20245656719431931,False,2022.0,2.0,1.0,Thursday,-726.96,0.0,Medium,32263.120000000003,21,-122.9685714285714,7,0.04205607476635514
TXN000310,CLI0040,2023-10-23 19:03:00,2332.3,EUR,1.0,2332.3,Virement,Assurance Vie,Nice-Massena,Credit,Complete,491.0,Risque,28676.58,,False,False,False,0.17780024399680272,False,-1.1149442920186288,False,2023.0,10.0,4.0,Monday,2332.3,0.0,High,22387.77,19,434.80368421052634,7,0.07633587786259542
TXN001126,CLI0124,2023-01-20 20:55:00,2460.12,GBP,0.86,2860.6,Interets,Credit Auto,Toulouse-Capitole,Credit,Rejete,585.0,Standard,22714.36,,False,False,False,0.18671473346890607,False,-0.36442501464882804,False,2023.0,1.0,1.0,Friday,2860.6046511627906,-0.004651162790651142,Medium,27040.2,12,-340.51166666666666,5,0.06806282722513089
